Tournament,Season,Year,Round,G/O,W/L,Speaker One Name,Speaker One Status,Speaker Two Name,Speaker Two Status,Opponent One Name,Opponent One Status,Opponent Two Name,Opponent Two Status,Judge,Speaker One Speaks,Speaker One Rank,Speaker Two Speaks,Speaker Two Rank,Opponent One Speaks,Opponent One Rank,Opponent Two Speaks,Opponent Two Rank
Stanford,Spring,2019,1,BYE,,,,,,,,,,,,,,,30.0,1,29.0,2
Stanford,Spring,2019,5,BYE,,,,,,,,,,,,,,,29.0,1,27.0,4
Stanford,Spring,2019,2,BYE,,,,,,,,,,,,,,,34.0,1,32.0,2
Stanford,Spring,2019,4,BYE,,,,,,,,,,,,,,,28.0,1,26.0,3
Stanford,Spring,2019,3,BYE,,,,,,,,,,,,,,,35.0,1,33.0,4
Franklin and Marshall,Spring,2019,4,BYE,,,,,,,,,,,,,,,33.0,1,32.0,2
Brown,Spring,2019,3,BYE,,,,,,,,,,,,,,,33.0,1,33.0,2
CMU,Spring,2019,4,BYE,,,,,,,,,,,,,,,29.0,2,30.0,1
CMU,Spring,2019,3,BYE,,,,,,,,,,,,,,,28.0,3,28.0,2
CMU,Spring,2019,2,BYE,,,,,,,,,,,,,,,27.0,2,27.0,1
